,Vanilla,LQR,modLQR
nltk_bleu,0.5642672892946876,0.6517010860950889,0.46968171494108335
sacrebleu,1.3641213929591414,1.7369937847735415,1.0852564510383778
rouge1,0.034572173261959875,0.03348780841691183,0.03000565678119941
rouge2,0.006711732711732712,0.006488136686009027,0.005087360929928627
rougeL,0.03341344523985859,0.033409377044362816,0.029435263873078307
meteor,0.04454747048637661,0.04550732161478007,0.04740102104310823
exact_match,0.004,0.004,0.002
bert_precision,0.7994120615720749,0.8028163684606552,0.7897889339923858
bert_recall,0.8414678268432617,0.8417338250875473,0.8413480178117753
bert_f1,0.8194366700649262,0.821249962091446,0.814317948102951
